"","Codi.districte","Codi.barri","Codi.carrer","Num.postal.caption","Descripció.dia.setmana","NK.Any","Nom.mes","Dia.de.mes","Hora.de.dia","Descripció.causa.vianant","Desc..Tipus.vehicle.implicat","Descripció.sexe","Descripció.tipus.persona","Edat","Descripció.victimització","Coordenada.UTM..Y.","Coordenada.UTM..X."
"10096",7,39,336169,"0001 0003","Dimecres",2015,"Desembre",30,6,"No és causa del  vianant","Turismo","Home","Conductor",35,"Ferit lleu",4586438.97,428326.65
"10097",7,39,336169,"0001 0003","Divendres",2015,"Juliol",3,4,"No és causa del  vianant","Motocicleta","Home","Conductor",35,"Ferit lleu",4586438.97,428326.65
"10099",7,39,336169,"0002 0004","Dimarts",2015,"Juliol",7,5,"No és causa del  vianant","Motocicleta","Home","Conductor",41,"Ferit lleu",4586452.81,428296.53
"10100",7,39,184005,"0001 0001","Dimarts",2015,"Juny",30,8,"No és causa del  vianant","Ciclomotor","Home","Conductor",40,"Ferit lleu",4586491.54,428124.45
"10101",7,39,293408,"0052 0052","Divendres",2015,"Gener",30,1,"No és causa del  vianant","Turismo","Home","Passatger",23,"Ferit lleu",4587117.62,427623.23
"10102",7,39,148409,"0287 0287","Dissabte",2015,"Novembre",14,5,"No és causa del  vianant","Turismo","Home","Passatger",20,"Ferit lleu",4587368.28,427734.97
"10103",7,39,148409,"0287 0287","Dissabte",2015,"Novembre",14,5,"No és causa del  vianant","Turismo","Home","Passatger",19,"Ferit lleu",4587368.28,427734.97
"10105",7,40,118747,"0005 0005","Dijous",2015,"Octubre",15,8,"No és causa del  vianant","Turismo","Home","Vianant",91,"Ferit lleu",4587124.12,428463.87
"10107",7,40,369500,"0000 0000","Dissabte",2015,"Novembre",28,8,"No és causa del  vianant","Turismo","Home","Vianant",18,"Ferit lleu",4587015.76,428334.11
"10108",7,39,173870,"0008 0008","Divendres",2015,"Juny",19,7,"Creuar per fora pas de vianants","Ciclomotor","Home","Conductor",20,"Ferit lleu",4586461.04,428222.41
"10109",7,36,139601,"0007 0007","Diumenge",2015,"Gener",18,9,"No és causa del  vianant","Motocicleta","Home","Conductor",37,"Ferit lleu",4586523.48,430538.61
"10111",7,36,248800,"0022 0022","Divendres",2015,"Desembre",25,8,"No és causa del  vianant","Motocicleta","Home","Conductor",70,"Ferit lleu",4586419.65,430575.34
"10112",7,41,700830,"0006 0006","Dilluns",2015,"Desembre",28,6,"No és causa del  vianant","Motocicleta","Home","Conductor",20,"Ferit lleu",4587329.97,428876.27
"10116",7,42,122008,"0016 0016","Dijous",2015,"Juliol",9,12,"No és causa del  vianant","Motocicleta","Home","Conductor",50,"Ferit lleu",4586815.97,429244.87
