"","Codi.districte","Codi.barri","Codi.carrer","Num.postal.caption","Descripció.dia.setmana","NK.Any","Nom.mes","Dia.de.mes","Hora.de.dia","Descripció.causa.vianant","Desc..Tipus.vehicle.implicat","Descripció.sexe","Descripció.tipus.persona","Edat","Descripció.victimització","Coordenada.UTM..Y.","Coordenada.UTM..X."
"3017",10,68,332000,"0001 0001","Dijous",2015,"Gener",1,5,"No és causa del  vianant","Turismo","Dona","Conductor",27,"Ferit lleu",4583113.74,433292.17
"3018",10,68,332000,"0005X0005X","Dimarts",2015,"Juliol",21,7,"No és causa del  vianant","Motocicleta","Home","Conductor",44,"Ferit lleu",4583165.77,433285.69
"3019",10,68,30500,"0006 0006","Divendres",2015,"Desembre",11,9,"No és causa del  vianant","Ciclomotor","Home","Conductor",20,"Ferit lleu",4583104.53,433261.88
"3020",10,68,30409,"0099 0099","Dimarts",2015,"Juliol",7,1,"No és causa del  vianant","Bicicleta","Home","Conductor",30,"Ferit lleu",4584443.15,433610.05
"3021",10,68,110009,"0175 0175","Dissabte",2015,"Juny",27,6,"No és causa del  vianant","Motocicleta","Home","Conductor",48,"Ferit lleu",4583592.81,433381.15
"3022",10,68,115603,"0137X0137X","Dilluns",2015,"Desembre",14,9,"No és causa del  vianant","Motocicleta","Home","Conductor",54,"Ferit lleu",4584397.6,433464.89
"3023",10,68,701265,"000760000","Dijous",2015,"Desembre",10,6,"No és causa del  vianant","Turismo","Home","Conductor",58,"Ferit lleu",4583102.38,433705.19
"3024",10,68,701265,"000760000","Dimecres",2015,"Novembre",18,1,"No és causa del  vianant","Turismo","Home","Passatger",38,"Ferit lleu",4583102.38,433705.19
"3025",10,68,701265,"000760000","Dimecres",2015,"Juliol",15,7,"No és causa del  vianant","Motocicleta","Home","Conductor",36,"Ferit lleu",4583102.38,433705.19
"3026",10,68,701265,"000790000","Dissabte",2015,"Novembre",28,2,"No és causa del  vianant","Turismo","Dona","Conductor",20,"Ferit lleu",4582893.36,433485.25
"3027",10,68,701266,"000790000","Dissabte",2015,"Març",28,11,"No és causa del  vianant","Motocicleta","Home","Conductor",48,"Ferit lleu",4582905.96,433473.3
"3028",10,68,701266,"000790000","Diumenge",2015,"Abril",19,7,"No és causa del  vianant","Turismo","Home","Conductor",24,"Ferit lleu",4582905.96,433473.3
"3029",10,69,128106,"0073 0073","Dijous",2015,"Març",19,7,"No és causa del  vianant","Furgoneta","Home","Conductor",28,"Ferit lleu",4584427.39,433813.84
"3030",10,69,322608,"0046X0046X","Dimecres",2015,"Març",18,9,"No és causa del  vianant","Motocicleta","Home","Conductor",36,"Ferit lleu",4584678.27,433980.76
